image,tag,result,k,object_ratio,background_ratio,k_x_object_ratio,k_x_background_ratio,perturbed_pixel,pixel_perturbed_percentage,total_pixel
n01592084_chickadee,object,safe,1568.0,0.6639030612244898,0.33609693877551017,1041.0,527.0,1041.0,2.0746970663,50176.0
n01601694_water_ouzel,whole-image,unsafe,1568.0,0.7162587691326531,0.2837412308673469,1123.09375,444.90625,1568.0,3.125,50176.0
n01601694_water_ouzel,background,unsafe,1568.0,0.7162587691326531,0.2837412308673469,1123.09375,444.90625,444.90625,0.8866913465,50176.0
n01601694_water_ouzel,object,unsafe,1568.0,0.7162587691326531,0.2837412308673469,1123.09375,444.90625,1123.09375,2.2383086535,50176.0
n01531178_goldfinch,whole-image,unsafe,1568.0,0.7751116071428571,0.2248883928571429,1215.375,352.62500000000006,1568.0,3.125,50176.0
n01531178_goldfinch,background,unsafe,1568.0,0.7751116071428571,0.2248883928571429,1215.375,352.62500000000006,352.62500000000006,0.7027762277,50176.0
n01531178_goldfinch,object,unsafe,1568.0,0.7751116071428571,0.2248883928571429,1215.375,352.62500000000006,1215.375,2.4222237723,50176.0
n01532829_house_finch,whole-image,safe,1568.0,0.7048788265306123,0.2951211734693877,1105.25,462.74999999999994,1568.0,3.125,50176.0
n01532829_house_finch,background,safe,1568.0,0.7048788265306123,0.2951211734693877,1105.25,462.74999999999994,462.74999999999994,0.9222536671,50176.0
n01532829_house_finch,object,safe,1568.0,0.7048788265306123,0.2951211734693877,1105.25,462.74999999999994,1105.25,2.2027463329,50176.0
n01534433_junco,whole-image,safe,1568.0,0.5240353954081632,0.47596460459183676,821.6875,746.3125,1568.0,3.125,50176.0
n01534433_junco,background,safe,1568.0,0.5240353954081632,0.47596460459183676,821.6875,746.3125,746.3125,1.4873893893,50176.0
n01534433_junco,object,safe,1568.0,0.5240353954081632,0.47596460459183676,821.6875,746.3125,821.6875,1.6376106107,50176.0
n01537544_indigo_bunting,whole-image,safe,1568.0,0.7687340561224489,0.23126594387755106,1205.375,362.62500000000006,1568.0,3.125,50176.0
n01537544_indigo_bunting,background,safe,1568.0,0.7687340561224489,0.23126594387755106,1205.375,362.62500000000006,362.62500000000006,0.7227060746,50176.0
n01537544_indigo_bunting,object,safe,1568.0,0.7687340561224489,0.23126594387755106,1205.375,362.62500000000006,1205.375,2.4022939254,50176.0
n01558993_robin,whole-image,safe,1568.0,0.5970982142857143,0.4029017857142857,936.25,631.75,1568.0,3.125,50176.0
n01558993_robin,background,safe,1568.0,0.5970982142857143,0.4029017857142857,936.25,631.75,631.75,1.2590680804,50176.0
n01558993_robin,object,safe,1568.0,0.5970982142857143,0.4029017857142857,936.25,631.75,936.25,1.8659319196,50176.0
n01560419_bulbul,whole-image,safe,1568.0,0.6496133609693877,0.3503866390306123,1018.5937499999999,549.4062500000001,1568.0,3.125,50176.0
n01580077_jay,object,unsafe,1568.0,0.7780412946428571,0.2219587053571429,1219.96875,348.03125000000006,1219.96875,2.4313790458,50176.0
n01582220_magpie,whole-image,safe,1568.0,0.8391860650510204,0.16081393494897955,1315.84375,252.15624999999994,1568.0,3.125,50176.0
n01582220_magpie,background,safe,1568.0,0.8391860650510204,0.16081393494897955,1315.84375,252.15624999999994,252.15624999999994,0.5025435467,50176.0
n01582220_magpie,object,safe,1568.0,0.8391860650510204,0.16081393494897955,1315.84375,252.15624999999994,1315.84375,2.6224564533,50176.0
n01560419_bulbul,background,safe,1568.0,0.6496133609693877,0.3503866390306123,1018.5937499999999,549.4062500000001,549.4062500000001,1.094958247,50176.0
