image,imagenet_id,segment_index,tag,mask_path,resolved_mask_path,status,r,lambda,c,outer_frac,flip_score,is_flipped,decision_rule
n01872401_echidna,102,0,fix_mask,property_masks/n01872401_echidna_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01872401_echidna_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.3622648278061224,0.6485118556417451,0.008967376354734005,0.7016009242449249,0.005392623645265994,True,empty_center
n01873310_platypus,103,0,fix_mask,property_masks/n01873310_platypus_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01873310_platypus_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.486507493622449,0.5076399983613945,0.08528941870468232,0.635492196141084,0.08460249362244898,True,large_mask_ratio
n01877812_wallaby,104,0,fix_mask,property_masks/n01877812_wallaby_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01877812_wallaby_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.0665258290816326,0.0859796285200719,0.2474535650089874,0.39484721390053923,-0.2330935650089874,False,small_mask_guard
n01882714_koala,105,0,fix_mask,property_masks/n01882714_koala_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01882714_koala_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2735969387755102,0.5052447552447552,7.284382284382284e-05,0.9104749417249417,0.19916394172494167,True,outer_band_dominant
n01883070_wombat,106,0,fix_mask,property_masks/n01883070_wombat_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01883070_wombat_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.2683952487244898,0.4110789336897602,0.015742184599391106,0.7777530259152001,0.0664420259152001,True,outer_band_dominant
n01914609_sea_anemone,108,0,fix_mask,property_masks/n01914609_sea_anemone_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01914609_sea_anemone_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.3462213010204081,0.2666359659221736,5.7563895924476166e-05,0.8279415150817407,0.11663051508174072,True,outer_band_dominant
n01917289_brain_coral,109,0,fix_mask,property_masks/n01917289_brain_coral_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01917289_brain_coral_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1279894770408163,0.47415135471815634,0.12893179694799128,0.7005605730302087,-0.010750426969791338,False,default
n01924916_flatworm,110,0,fix_mask,property_masks/n01924916_flatworm_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01924916_flatworm_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.184829400510204,0.4326072891956006,0.0428078499029545,0.7728056933362087,0.06149469333620872,True,outer_band_dominant
n01930112_nematode,111,0,fix_mask,property_masks/n01930112_nematode_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01930112_nematode_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.011977838010204,0.49417637271214643,0.014975041597337771,0.7237936772046589,0.012482677204658899,False,small_mask_guard
n01943899_conch,112,0,fix_mask,property_masks/n01943899_conch_fix_mask_seg0_k50176_eps_0.0001.npz,/Users/zd3504phd/Desktop/XAIV/benchmarks/vggnet16_benchmark2022_segmented_all_imgs/debug_vis/property_masks/n01943899_conch_fix_mask_seg0_k50176_eps_0.0001.npz,ok,0.1462850765306122,0.7283378746594006,0.033106267029972755,0.8053133514986376,0.09400235149863756,True,outer_band_dominant
