image,k,eps,segment_index,model,onnx,fix_mask_row_index,fix_nonmask_row_index,fix_mask_old_result,fix_mask_new_result,fix_nonmask_old_result,fix_nonmask_new_result,result_differed,fix_mask_old_bab_time,fix_mask_new_bab_time,fix_nonmask_old_bab_time,fix_nonmask_new_bab_time,bab_time_differed,fix_mask_old_all_time,fix_mask_new_all_time,fix_nonmask_old_all_time,fix_nonmask_new_all_time,all_time_differed,any_swapped_value_changed
n01983481_American_lobster,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,436,437,sat False,sat False,sat False,sat False,False,1.737663745880127,0.8820779323577881,0.8820779323577881,1.737663745880127,True,37.76425528526306,36.907440423965454,36.907440423965454,37.76425528526306,True,True
n01983481_American_lobster,3136.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,808,809,sat False,sat False,sat False,sat False,False,1.0856733322143557,1.034545660018921,1.034545660018921,1.0856733322143557,True,36.81319427490234,35.860875844955444,35.860875844955444,36.81319427490234,True,True
n01983481_American_lobster,6272.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,715,716,sat True,sat True,sat True,sat True,False,,,,,False,35.1666944026947,35.58001971244812,35.58001971244812,35.1666944026947,True,True
n01983481_American_lobster,12544.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,622,623,sat True,sat True,sat True,sat True,False,,,,,False,37.73712158203125,35.26574110984802,35.26574110984802,37.73712158203125,True,True
n01983481_American_lobster,25088.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,529,530,sat True,sat True,sat True,sat True,False,,,,,False,38.04974603652954,36.05162239074707,36.05162239074707,38.04974603652954,True,True
n01983481_American_lobster,50176.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,901,902,sat True,sat True,sat True,sat True,False,,,,,False,38.23481822013855,40.56278991699219,40.56278991699219,38.23481822013855,True,True
n01986214_hermit_crab,1568.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,442,443,sat False,sat False,sat False,sat False,False,1.5650219917297363,1.737706184387207,1.737706184387207,1.5650219917297363,True,36.610034227371216,42.43668007850647,42.43668007850647,36.610034227371216,True,True
n01986214_hermit_crab,3136.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,814,815,sat False,sat False,sat False,sat False,False,1.50561785697937,1.6880316734313965,1.6880316734313965,1.50561785697937,True,39.472912073135376,35.87611508369446,35.87611508369446,39.472912073135376,True,True
n01986214_hermit_crab,6272.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,721,722,sat True,sat True,sat True,sat True,False,,,,,False,37.97689414024353,35.99950194358826,35.99950194358826,37.97689414024353,True,True
n01986214_hermit_crab,12544.0,0.0001,0.0,vgg16-7,onnx/vgg16-7.onnx,628,629,sat True,sat True,sat True,sat True,False,,,,,False,35.60675382614136,40.36404848098755,40.36404848098755,35.60675382614136,True,True
